登陆天数,道具奖励,道具奖励数量,金币奖励,钻石奖励
LogInDays,ItemRewards,ItemNum,GoldRewards,DiamondsRewards
int,int,int,int,int
1,0,0,100,0
2,0,0,20,0
3,11012,3,0,0
4,11013,3,0,0
5,11014,3,0,0
6,11015,3,0,0
7,11016,3,0,0
8,0,0,200,0
9,0,0,30,0
10,11012,4,0,0
11,11013,4,0,0
12,11014,4,0,0
13,11015,4,0,0
14,11016,4,0,0
15,0,0,300,0
16,0,0,40,0
17,11012,5,0,0
18,11013,5,0,0
19,11014,5,0,0
20,11015,5,0,0
21,11016,5,0,0
22,0,0,50,0
23,11012,6,0,0
24,11013,6,0,0
25,11014,6,0,0
26,11015,6,0,0
27,11016,6,0,0
28,0,0,60,0
29,11012,7,0,0
30,11013,7,0,0
31,11014,7,0,0
